# port: port_a
# low_psia: 15.0
# high_psia: 50.0
# rate_psi_s: 10.0
# hold_s: 3.0
# cycles: 3

timestamp,elapsed_time,phase,transducer_pressure,alicat_pressure,alicat_setpoint
466966.6230606,0.08680260000983253,ramp_up_1,14.009226635098457,13.74,15.43
466966.680247,0.1439890000037849,ramp_up_1,13.992263376712799,13.74,15.43
466966.7056312,0.1693731999839656,ramp_up_1,14.002447500824928,13.74,15.43
466966.7303198,0.19406179996440187,ramp_up_1,13.994888663291931,13.74,16.5
466966.791039,0.25478099996689707,ramp_up_1,14.00003470480442,13.74,16.5
466966.8159285,0.27967049996368587,ramp_up_1,14.000212922692299,13.74,16.5
466966.8413763,0.30511830002069473,ramp_up_1,14.000816121697426,13.74,17.61
466966.9021926,0.36593460000585765,ramp_up_1,14.000461399555206,13.74,17.61
466966.9270241,0.39076609996845946,ramp_up_1,14.021078124642372,13.74,17.61
466966.9519203,0.41566230001626536,ramp_up_1,13.994215205311775,13.74,18.72
466967.0156011,0.4793430999852717,ramp_up_1,14.018595069646835,13.74,18.72
466967.040258,0.5040000000153668,ramp_up_1,14.021753296256065,13.74,18.72
466967.0654837,0.5292257000110112,ramp_up_1,13.986514136195183,13.74,19.86
466967.1270195,0.590761500003282,ramp_up_1,14.000816121697426,13.74,19.86
466967.1516324,0.6153743999893777,ramp_up_1,14.000922366976738,13.74,19.86
466967.1766099,0.6403519000159577,ramp_up_1,14.000495672225952,13.74,20.97
466967.2390545,0.7027965000015683,ramp_up_1,14.015188366174698,13.74,20.97
466967.2650108,0.7287527999724261,ramp_up_1,14.001206830143929,13.74,20.97
466967.2898976,0.7536396000068635,ramp_up_1,14.003086686134338,13.74,22.1
466967.3505356,0.8142775999731384,ramp_up_1,14.011248722672462,13.74,22.1
466967.3752404,0.8389824000187218,ramp_up_1,14.004044607281685,13.74,22.1
466967.4000508,0.8637927999952808,ramp_up_1,13.993008807301521,13.74,23.2
466967.4624201,0.9261620999895968,ramp_up_1,13.997196927666664,13.74,23.2
466967.4873376,0.9510795999667607,ramp_up_1,14.001489579677582,13.74,23.2
466967.5127534,0.9764954000129364,ramp_up_1,14.01078775525093,13.74,24.33
466967.5753903,1.0391323000076227,ramp_up_1,14.011994153261185,13.74,24.33
466967.6005393,1.064281300001312,ramp_up_1,14.009475111961365,13.74,24.33
466967.625755,1.0894969999790192,ramp_up_1,13.988147228956223,13.74,25.46
466967.6864182,1.150160200020764,ramp_up_1,14.011248722672462,13.74,25.46
466967.7110598,1.174801799992565,ramp_up_1,14.015719592571259,13.74,25.46
466967.7355605,1.1993024999974295,ramp_up_1,14.010361060500145,13.74,26.56
466967.7982671,1.262009099998977,ramp_up_1,14.0054652094841,13.74,26.56
466967.8238688,1.2876108000054955,ramp_up_1,14.013733491301537,13.74,26.56
466967.8491706,1.3129125999985263,ramp_up_1,14.012348875403404,13.74,27.7
466967.9103627,1.3741046999930404,ramp_up_1,14.00997206568718,13.74,27.7
466967.9352728,1.3990147999720648,ramp_up_1,14.019126296043396,13.74,27.7
466967.9606228,1.4243647999828681,ramp_up_1,13.992299363017082,13.74,28.81
466968.0228139,1.4865559000172652,ramp_up_1,14.025799185037613,13.74,28.81
466968.0481618,1.5119038000120781,ramp_up_1,14.005747959017754,13.74,28.81
466968.0735313,1.5372732999967411,ramp_up_1,14.00862343609333,13.74,29.94
466968.1342649,1.5980068999924697,ramp_up_1,13.996485769748688,13.74,29.94
466968.1596705,1.6234125000191852,ramp_up_1,13.997337445616722,13.74,29.94
466968.1855864,1.6493283999734558,ramp_up_1,14.005251005291939,13.74,31.06
466968.2458814,1.709623400005512,ramp_up_1,14.010290801525116,13.74,31.06
466968.270962,1.734704000002239,ramp_up_1,14.007593542337418,13.74,31.06
466968.295972,1.7597139999852516,ramp_up_1,13.999964445829391,13.74,32.16
