kind,param,noise_std_psi,response_time_s
median,0.1,0.005867055770449036,0.028242439997848125
median,0.2,0.004047510140797794,0.05470370000693947
exponential,0.1,0.0018362832933648977,0.06589192000683397
exponential,0.2,0.0027907447591580467,0.06589192000683397
exponential,0.3,0.0035431749781379964,0.06589192000683397
exponential,0.05,0.0011742820322703817,0.07868966000387445
exponential,0.5,0.004887144087360124,0.08883588000899181
moving_average,0.02,0.008631853273299165,0.09881128000561148
median,0.02,0.008631853273299165,0.09881128000561148
moving_average,0.05,0.008631853273299165,0.09881128000561148
median,0.05,0.008631853273299165,0.09881128000561148
moving_average,0.2,0.3374246782927923,0.17195277999853714
median,0.5,0.002579797341626649,0.17834852000232787
moving_average,0.1,0.2107507988252738,1.526413460006006
moving_average,0.5,0.5583491280167626,2.1604284000000917
