time,phase,voltage,trans_psi,alicat_psi,DIO0,DIO1,DIO2,DIO3,DIO4,DIO5,DIO6,DIO7,DIO8,DIO9,DIO10,DIO11,DIO12,DIO13,DIO14,DIO15,DIO16,DIO17,DIO18,DIO19
1770755130.9995422,start,0.966474175453186,13.501132544279098,13.56,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770755131.2228909,sweep,0.966290295124054,13.495845984816551,13.56,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770755131.2474015,sweep,0.9665161371231079,13.502338942289352,13.56,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770755131.2720256,sweep,0.9674221277236938,13.528386172056198,13.56,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770755131.296883,sweep,0.9669604897499084,13.515114080309868,13.56,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770755131.3217807,sweep,0.9666173458099365,13.505248692035675,13.56,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770755131.3461778,sweep,0.9662964344024658,13.496022489070892,13.56,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770755131.370522,sweep,0.9674332737922668,13.528706621527672,13.56,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770755131.4305017,sweep,0.9663556814193726,13.497725840806961,13.56,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770755131.455145,sweep,0.9666149020195007,13.505178433060646,13.56,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770755131.4795096,sweep,0.9669111371040344,13.51369519174099,13.56,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770755131.5041175,sweep,0.966938316822052,13.514476608633995,13.56,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770755131.5284612,sweep,0.9666630625724792,13.506563048958778,13.56,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770755131.553071,sweep,0.9661619067192078,13.492154818177223,13.56,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770755131.5775247,sweep,0.9674801826477051,13.53005525112152,13.56,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770755131.622897,sweep,0.9668309092521667,13.511388640999794,13.56,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770755131.6476977,sweep,0.9665235877037048,13.502553146481514,13.56,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770755131.6721973,sweep,0.9678356647491455,13.540275361537933,13.56,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770755131.6968863,sweep,0.9671654105186462,13.52100555241108,13.56,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770755131.7217703,sweep,0.9663729667663574,13.498222794532776,13.56,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770755131.7460723,sweep,0.9670962691307068,13.51901773750782,13.56,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770755131.7706804,sweep,0.9667876958847046,13.510146256685257,13.56,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
