# port: port_a
# start_pressure_psia: 10.0
# end_pressure_psia: 100.0
# rate_psi_s: 1.0
# no_dio: 2
# nc_dio: 0
# com_dio: 3

timestamp,elapsed_time,phase,transducer_voltage,transducer_pressure_calc,alicat_pressure,no_active,nc_active,switch_activated,com_state
465286.7184516,1.3738245000131428,settle_start,1.1601020097732544,18.977932780981064,11.12,True,True,False,0
465286.7758927,1.4312656000256538,settle_start,1.154176115989685,18.807563334703445,11.12,True,True,False,0
465286.8015065,1.4568794000078924,settle_start,1.1525022983551025,18.759441077709198,11.12,True,True,False,0
465286.8270221,1.4823949999990873,settle_start,1.1499435901641846,18.685878217220306,10.2,True,True,False,0
465286.8870236,1.5423965000081807,settle_start,1.1487709283828735,18.652164191007614,10.2,True,True,False,0
465286.9123076,1.5676805000402965,settle_start,1.1482229232788086,18.636409044265747,10.2,True,True,False,0
465286.9382808,1.5936537000234239,settle_start,1.1460098028182983,18.572781831026077,10.09,True,True,False,0
465286.9987957,1.654168600041885,settle_start,1.14613938331604,18.57650727033615,10.09,True,True,False,0
465287.0247181,1.680090999987442,settle_start,1.1462135314941406,18.578639030456543,10.09,True,True,False,0
465287.0502619,1.7056348000187427,settle_start,1.1453617811203003,18.554151207208633,10.04,True,True,False,0
465287.1109606,1.7663335000397637,settle_start,1.1453592777252197,18.554079234600067,10.04,True,True,False,0
465287.1364582,1.791831100010313,settle_start,1.1454124450683594,18.555607795715332,10.04,True,True,False,0
465287.1623488,1.8177217000047676,settle_start,1.1445459127426147,18.530694991350174,10.01,True,True,False,0
465287.2226776,1.8780505000031553,settle_start,1.1454136371612549,18.555642068386078,10.01,True,True,False,0
465287.2481969,1.9035698000225239,settle_start,1.1446533203125,18.533782958984375,10.01,True,True,False,0
465287.2744189,1.929791800037492,settle_start,1.144888997077942,18.54055866599083,9.99,True,True,False,0
465287.334826,1.9901988999918103,settle_start,1.1438621282577515,18.511036187410355,9.99,True,True,False,0
465287.3608722,2.016245100006927,settle_start,1.1439435482025146,18.513377010822296,9.99,True,True,False,0
465287.3887157,2.044088600028772,settle_start,1.1440410614013672,18.516180515289307,9.99,True,True,False,0
465287.4464069,2.101779800024815,settle_start,1.1439670324325562,18.51405218243599,9.99,True,True,False,0
465287.471374,2.126746900030412,settle_start,1.1440855264663696,18.517458885908127,9.99,True,True,False,0
465287.4968401,2.1522129999939352,settle_start,1.1443718671798706,18.52569118142128,9.98,True,True,False,0
465287.5578633,2.2132362000411376,settle_start,1.1443718671798706,18.52569118142128,9.98,True,True,False,0
465287.5829527,2.238325599988457,settle_start,1.1438337564468384,18.510220497846603,9.98,True,True,False,0
465287.6088954,2.2642683000303805,settle_start,1.1443928480148315,18.526294380426407,9.99,True,True,False,0
