# port: port_b
# target_psig: -5.0
# ramp_rate: 1.0
# sample_rate_hz: 10.0
# switch_threshold_psig: 0.5

timestamp,elapsed_time_s,transducer_psia,alicat_psia,baro_psia,transducer_psig,alicat_psig,offset_abs,offset_gauge
1770310120.609229,0.1046755999996094,13.399944573640823,11.41,13.707,-0.3070554263591774,-2.2970000000000006,1.9899445736408232,1.9899445736408232
1770310120.7052622,0.2053453000044101,13.057221944630147,10.11,13.707,-0.649778055369854,-3.5970000000000013,2.9472219446301473,2.9472219446301473
1770310120.8171954,0.31220159999793395,12.63177907511592,8.92,13.707,-1.0752209248840803,-4.787000000000001,3.7117790751159205,3.7117790751159205
1770310122.9591599,2.4525577000022167,11.452295886382462,0.9,13.707,-2.2547041136175388,-12.807,10.552295886382462,10.552295886382462
1770310123.08816,2.5933259000012185,10.380068971429766,0.79,13.707,-3.3269310285702343,-12.917000000000002,9.590068971429766,9.590068971429767
1770310123.2304106,2.7225471999990987,9.403999987585397,0.71,13.707,-4.3030000124146035,-12.997,8.693999987585396,8.693999987585396
1770310123.3590565,2.8648609000010765,8.518181444713221,0.62,13.707,-5.18881855528678,-13.087000000000002,7.898181444713221,7.898181444713222
1770310123.5018342,2.9936913999990793,7.714656577863169,0.56,13.707,-5.992343422136832,-13.147,7.154656577863168,7.154656577863168
1770310123.630811,3.13612650000141,6.986150513313298,0.5,13.707,-6.720849486686703,-13.207,6.486150513313298,6.486150513313298
1770310123.7586954,3.265195699998003,6.3253850000102085,0.45,13.707,-7.381614999989792,-13.257000000000001,5.875385000010208,5.875385000010209
1770310123.8873,3.3932370000038645,5.7263382679520936,0.41,13.707,-7.980661732047907,-13.297,5.316338267952093,5.316338267952093
1770310124.0296712,3.5214893000011216,5.182298987176916,0.37,13.707,-8.524701012823085,-13.337000000000002,4.8122989871769155,4.812298987176916
1770310124.1580367,3.66387499999837,4.6899027994873235,0.33,13.707,-9.017097200512676,-13.377,4.359902799487323,4.359902799487324
