# port: port_a
# target_psig: -5.0
# ramp_rate: 1.0
# sample_rate_hz: 10.0
# switch_threshold_psig: 0.5

timestamp,elapsed_time_s,transducer_psia,alicat_psia,baro_psia,transducer_psig,alicat_psig,offset_abs,offset_gauge
1770310111.945145,0.10453099999722326,13.765800707042217,11.38,13.706,0.05980070704221774,-2.3259999999999987,2.3858007070422165,2.3858007070422165
1770310112.0411625,0.20608509999874514,13.417940896004438,10.04,13.706,-0.2880591039955611,-3.6660000000000004,3.3779408960044393,3.3779408960044393
1770310112.153005,0.31277489999774843,12.985241222009064,8.83,13.706,-0.7207587779909357,-4.8759999999999994,4.155241222009064,4.155241222009064
1770310114.295123,2.4532275999954436,11.802041209600867,0.84,13.706,-1.9039587903991322,-12.866,10.962041209600867,10.962041209600867
1770310114.4237802,2.5944025999997393,10.728796953137966,0.74,13.706,-2.9772030468620336,-12.966,9.988796953137966,9.988796953137966
1770310114.5665002,2.7231807999996818,9.752472453572976,0.66,13.706,-3.953527546427024,-13.046,9.092472453572976,9.092472453572976
1770310114.6953404,2.8660817999989376,8.86517487906691,0.58,13.706,-4.84082512093309,-13.126,8.28517487906691,8.28517487906691
1770310114.838268,2.9949764999983017,8.062437277525156,0.52,13.706,-5.643562722474844,-13.186,7.542437277525156,7.542437277525156
1770310114.9669735,3.137735699994664,7.333543369015595,0.47,13.706,-6.372456630984405,-13.235999999999999,6.863543369015595,6.863543369015594
1770310115.0947962,3.2663117999982205,6.671683536923415,0.42,13.706,-7.034316463076585,-13.286,6.251683536923415,6.251683536923415
1770310115.2225332,3.3942612999962876,6.074895312151152,0.38,13.706,-7.631104687848848,-13.325999999999999,5.694895312151152,5.694895312151151
1770310115.3509321,3.5218559999993886,5.533080443526064,0.35,13.706,-8.172919556473936,-13.356,5.183080443526064,5.183080443526064
1770310115.4782977,3.650318799998786,5.043417262838561,0.32,13.706,-8.662582737161438,-13.386,4.723417262838561,4.723417262838561
