time,phase,voltage,trans_psi,alicat_psi,DIO0,DIO1,DIO2,DIO3,DIO4,DIO5,DIO6,DIO7,DIO8,DIO9,DIO10,DIO11,DIO12,DIO13,DIO14,DIO15,DIO16,DIO17,DIO18,DIO19
1770329081.2857652,sweep,0.9704104661941528,13.614300903081894,13.62,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.3107946,sweep,0.968970000743866,13.572887521386146,13.62,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.3359814,sweep,0.9673382043838501,13.52597337603569,13.62,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.3616073,sweep,0.9675554633140564,13.532219570279121,13.62,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.3866725,sweep,0.9664877653121948,13.501523252725601,13.62,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.4131525,sweep,0.9657471776008606,13.480231356024742,13.62,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.4434073,sweep,0.9645153284072876,13.444815691709518,13.62,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.4951668,sweep,0.9621281623840332,13.376184668540954,13.41,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.5200186,sweep,0.9614652991294861,13.357127349972725,13.41,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.5450327,sweep,0.960576593875885,13.331577073931694,13.41,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.5699217,sweep,0.9604470133781433,13.32785163462162,13.41,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.5989318,sweep,0.9593509435653687,13.296339627504349,13.41,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.6243584,sweep,0.9579870104789734,13.257126551270485,13.41,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.6509752,sweep,0.957146406173706,13.232959177494049,13.41,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.7020462,sweep,0.9559528231620789,13.198643665909767,13.2,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.7272284,sweep,0.9542458057403564,13.149566915035248,13.2,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.7520847,sweep,0.9536693692207336,13.132994365096092,13.2,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.77724,sweep,0.9531139135360718,13.117025014162063,13.2,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.8023803,sweep,0.9517672657966614,13.078308891654014,13.2,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.8275213,sweep,0.9508625268936157,13.052297648191452,13.2,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.853105,sweep,0.9499849081039429,13.027066107988357,13.2,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.909478,sweep,0.9470533728599548,12.942784469723701,13.0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.9347792,sweep,0.9468657970428467,12.937391664981842,13.0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.9601686,sweep,0.9472434520721436,12.948249247074127,13.0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329081.9855096,sweep,0.9464312791824341,12.92489927649498,13.0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329082.012348,sweep,0.944013237953186,12.855380591154098,13.0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329082.037291,sweep,0.9436787366867065,12.845763679742813,13.0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329082.0627902,sweep,0.9433380961418152,12.835970264077186,13.0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329082.1174617,sweep,0.9409940838813782,12.768579911589622,12.79,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329082.1429694,sweep,0.9392796158790588,12.719288956522941,12.79,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329082.1680682,sweep,0.9394981265068054,12.725571137070656,12.79,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329082.1933599,sweep,0.9388254284858704,12.706231068968773,12.79,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329082.21908,sweep,0.9371380805969238,12.65771981716156,12.79,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329082.246468,sweep,0.9361111521720886,12.628195624947548,12.79,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329082.2717836,sweep,0.9362901449203491,12.633341666460037,12.79,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329082.3251,sweep,0.9337400197982788,12.560025569200516,12.58,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329082.3500998,sweep,0.9329006671905518,12.535894181728363,12.58,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329082.3796153,sweep,0.9326476454734802,12.528619807362556,12.58,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329082.4050217,sweep,0.930997371673584,12.48117443561554,12.58,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329082.4306445,sweep,0.9293433427810669,12.433621104955673,12.58,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329082.4562201,sweep,0.929659366607666,12.442706789970398,12.58,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329082.4815292,sweep,0.9285287261009216,12.410200875401497,12.58,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329082.533375,sweep,0.9265994429588318,12.354733985066414,12.37,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329082.5584073,sweep,0.9263439774513245,12.347389351725578,12.37,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329082.5835254,sweep,0.9256008863449097,12.326025482416153,12.37,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329082.608715,sweep,0.923595130443573,12.268360000252724,12.37,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329082.6337116,sweep,0.922518789768219,12.237415205836296,12.37,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329082.6594286,sweep,0.9226706027984619,12.24177983045578,12.37,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329082.6845937,sweep,0.9215548038482666,12.209700610637665,12.37,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329082.7404852,sweep,0.9193231463432312,12.145540457367897,12.17,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329082.766154,sweep,0.9186381101608276,12.125845667123794,12.17,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329082.7914686,sweep,0.9170470833778381,12.080103647112846,12.17,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329082.8169358,sweep,0.9160743951797485,12.05213886141777,12.17,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329082.8425038,sweep,0.9152881503105164,12.029534321427345,12.17,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329082.8677433,sweep,0.9156103134155273,12.038796510696411,12.17,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329082.8936503,sweep,0.9143463969230652,12.002458911538124,12.17,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329082.9486122,sweep,0.9117567539215088,11.928006675243378,11.96,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329082.9739625,sweep,0.9114543795585632,11.919313412308693,11.96,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329082.9987462,sweep,0.9105841517448425,11.894294362664223,11.96,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329083.0241013,sweep,0.908284604549408,11.828182380795479,11.96,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329083.0489447,sweep,0.9083302617073059,11.829495024085045,11.96,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329083.0744553,sweep,0.9084635972976685,11.833328422307968,11.96,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329083.09961,sweep,0.9069737792015076,11.790496152043342,11.96,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329083.1561692,sweep,0.9057110548019409,11.754192825555801,11.75,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329083.1812205,sweep,0.9047112464904785,11.725448336601257,11.75,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329083.2059479,sweep,0.9027227759361267,11.668279808163643,11.75,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329083.2312913,sweep,0.902508020401001,11.662105586528778,11.75,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329083.2559953,sweep,0.9014267325401306,11.631018560528755,11.75,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329083.2812188,sweep,0.9006478786468506,11.608626511096954,11.75,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329083.306378,sweep,0.8996999263763428,11.581372883319855,11.75,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329083.3641298,sweep,0.8980681300163269,11.534458737969398,11.55,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329083.3890164,sweep,0.8975818157196045,11.520477201938629,11.55,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329083.414346,sweep,0.8952575922012329,11.453655775785446,11.55,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329083.4393313,sweep,0.8939307332038879,11.415508579611778,11.55,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329083.4644547,sweep,0.894542932510376,11.43310930967331,11.55,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329083.4897418,sweep,0.8942170739173889,11.423740875124931,11.55,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329083.515154,sweep,0.8923631310462952,11.370440017580986,11.55,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329083.5719686,sweep,0.8906646966934204,11.321610029935837,11.34,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329083.5973475,sweep,0.890047550201416,11.30386706829071,11.34,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329083.6224873,sweep,0.8880935907363892,11.247690733671188,11.34,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329083.647687,sweep,0.8876739144325256,11.235625039935112,11.34,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329083.6726632,sweep,0.8867963552474976,11.210395213365555,11.34,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329083.698446,sweep,0.8866803050041199,11.207058768868446,11.34,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329083.724426,sweep,0.884762167930603,11.151912328004837,11.34,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329083.7800236,sweep,0.883363664150238,11.111705344319343,11.13,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329083.8049784,sweep,0.8819788098335266,11.07189078271389,11.13,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329083.8301852,sweep,0.881038248538971,11.044849645495415,11.13,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329083.855202,sweep,0.880790114402771,11.037715789079666,11.13,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329083.8809853,sweep,0.8804149031639099,11.02692846596241,11.13,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329083.906461,sweep,0.8782992959022522,10.96610475718975,11.13,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329083.9321213,sweep,0.8776956796646118,10.94875079035759,11.13,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329083.987515,sweep,0.8767329454421997,10.921072181463241,10.92,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329084.0127378,sweep,0.8747987151145935,10.865463059544563,10.92,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329084.037792,sweep,0.8742309808731079,10.849140700101852,10.92,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329084.06259,sweep,0.873650848865509,10.832461904883385,10.92,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329084.087279,sweep,0.8722350597381592,10.791757967472076,10.92,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329084.1126537,sweep,0.8713142275810242,10.765284042954445,10.92,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329084.1373587,sweep,0.8705601096153259,10.74360315144062,10.92,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329084.1952217,sweep,0.8687678575515747,10.692075904607773,10.71,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329084.2204788,sweep,0.8675717711448669,10.657688420414924,10.71,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329084.2456372,sweep,0.866546094417572,10.628200214505195,10.71,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329084.2719288,sweep,0.8664695620536804,10.625999909043312,10.71,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329084.297565,sweep,0.8655536770820618,10.599668216109276,10.71,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329084.3230338,sweep,0.8644686937332153,10.56847494482994,10.71,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329084.3487358,sweep,0.8631603121757507,10.530858975052833,10.71,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329084.403446,sweep,0.8607509136199951,10.46158876657486,10.5,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329084.4285057,sweep,0.8598572611808777,10.435896258950233,10.5,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329084.45365,sweep,0.8602485656738281,10.447146263122558,10.5,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329084.4788353,sweep,0.8588414192199707,10.406690802574158,10.5,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329084.504476,sweep,0.8583514094352722,10.392603021264076,10.5,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329084.529779,sweep,0.8566924929618835,10.344909172654152,10.5,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329084.5546744,sweep,0.8566282987594604,10.343063589334488,10.5,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329084.6354213,sweep,0.8533228039741516,10.248030614256859,10.3,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329084.6603649,sweep,0.8531833291053772,10.244020711779594,10.3,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329084.6852958,sweep,0.8522427678108215,10.216979574561119,10.3,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329084.7103448,sweep,0.8510269522666931,10.182024877667427,10.3,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329084.7431448,sweep,0.8495470285415649,10.139477070569992,10.3,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329084.775136,sweep,0.8490471243858337,10.12510482609272,10.3,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329084.8348644,sweep,0.8461242318153381,10.041071664690971,10.08,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329084.8603082,sweep,0.845684826374054,10.028438758254051,10.08,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329084.885398,sweep,0.8454465866088867,10.021589365005493,10.08,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329084.9105985,sweep,0.8437753319740295,9.97354079425335,10.08,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329084.9358997,sweep,0.8427755236625671,9.944796305298805,10.08,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1770329084.9613044,sweep,0.8426669239997864,9.941674064993858,10.08,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
