# port: port_b
# target_psig: -5.0
# ramp_rate: 0.1
# sample_rate_hz: 5.0
# switch_threshold_psig: 0.5

timestamp,elapsed_time_s,transducer_psia,alicat_psia,baro_psia,transducer_psig,alicat_psig,offset_abs,offset_gauge
1770310320.429405,0.2074406999963685,13.260251224040985,10.09,13.707,-0.44674877595901563,-3.617000000000001,3.1702512240409852,3.1702512240409852
1770310320.6363916,0.40829959999973653,12.723027727007866,8.03,13.707,-0.9839722729921352,-5.677000000000001,4.693027727007866,4.693027727007866
1770310320.8440862,0.6131261999980779,12.077508355081081,6.38,13.707,-1.6294916449189198,-7.327000000000001,5.697508355081081,5.697508355081081
1770310321.0516667,0.8204148000004352,11.364629866093397,5.06,13.707,-2.342370133906604,-8.647000000000002,6.304629866093397,6.304629866093398
1770310321.2598145,1.0287303000004613,10.621536427506804,4.01,13.707,-3.0854635724931967,-9.697000000000001,6.611536427506804,6.611536427506804
1770310321.4677866,1.2370068000018364,9.867712068947256,3.19,13.707,-3.839287931052745,-10.517000000000001,6.677712068947256,6.677712068947256
1770310321.6598837,1.4377858000007109,9.127640344255061,2.56,13.707,-4.579359655744939,-11.147,6.567640344255061,6.567640344255061
1770310321.8673477,1.638573299998825,8.412802868383729,2.06,13.707,-5.294197131616272,-11.647,6.352802868383728,6.352802868383728
1770310322.075246,1.8452801999956137,7.730793508855346,1.66,13.707,-5.976206491144655,-12.047,6.0707935088553455,6.0707935088553455
1770310322.2830825,2.054699200001778,7.085153485507825,1.34,13.707,-6.621846514492176,-12.367,5.745153485507825,5.745153485507825
1770310322.4907644,2.2602077999981702,6.478637032363766,1.1,13.707,-7.228362967636235,-12.607000000000001,5.378637032363766,5.378637032363766
1770310322.6982281,2.468572799996764,5.91267952858265,0.9,13.707,-7.79432047141735,-12.807,5.01267952858265,5.01267952858265
1770310322.9063225,2.676617500001157,5.387231725801729,0.74,13.707,-8.319768274198271,-12.967,4.647231725801729,4.6472317258017295
1770310323.1144266,2.8842078000016045,4.902593226745459,0.62,13.707,-8.804406773254541,-13.087000000000002,4.282593226745459,4.28259322674546
1770310323.3221104,3.09338089999801,4.456588832898199,0.52,13.707,-9.250411167101802,-13.187000000000001,3.9365888328981993,3.936588832898199
1770310323.5298154,3.300232399997185,4.047431029406124,0.44,13.707,-9.659568970593877,-13.267000000000001,3.6074310294061243,3.607431029406124
1770310323.7375526,3.508089099996141,3.672485443228722,0.38,13.707,-10.034514556771278,-13.327,3.2924854432287223,3.2924854432287223
1770310323.9453006,3.7156171000024187,3.328884698993779,0.33,13.707,-10.378115301006222,-13.377,2.9988846989937787,2.9988846989937787
