port,ramp_rate_psi_s,direction,mean_offset_psi,std_offset_psi,runs
port_a,0.1,up,0.4903544314937068,0.0,1
port_a,0.2,up,0.49391598297197753,0.0,1
port_a,0.5,up,0.500663800151643,0.0,1
port_a,2.0,up,0.5039522771773038,0.034231531859135224,3
port_a,5.0,down,0.28069663275480294,0.0,1
port_a,5.0,up,0.5053654137586993,0.07679655382712858,3
port_a,10.0,up,0.7673143748796412,0.0,1
port_b,0.1,up,-0.08117027412747287,0.0,1
port_b,0.2,up,-0.07775015105476134,0.0,1
port_b,0.5,up,-0.0696168739004295,0.0,1
port_b,2.0,up,-0.05057399411201922,0.023311615302409303,2
port_b,5.0,down,-0.2580228531316802,0.0,1
port_b,5.0,up,0.06709767133539477,0.00478463702410456,2
