kind,param,noise_std_psi,response_time_s
median,0.1,0.00558045938706465,0.17511830024886876
moving_average,0.02,0.008996103170880282,0.17511830024886876
median,0.02,0.008996103170880282,0.17511830024886876
moving_average,0.05,0.008996103170880282,0.17511830024886876
median,0.05,0.008996103170880282,0.17511830024886876
moving_average,0.1,0.2091885495556655,0.17511830024886876
exponential,0.5,0.005093764994571771,0.20013520028442144
median,0.2,0.004033014310554814,0.22515210031997412
moving_average,0.2,0.33470587264328633,0.22515210031997412
median,0.5,0.0023922919083564885,0.2501690003555268
moving_average,0.5,0.553397406611241,0.30020280042663217
exponential,0.2,0.0029186647456874507,0.42528730060439557
exponential,0.3,0.0036888653069184086,0.42528730060439557
exponential,0.1,0.0020094257218396775,0.5003380007110536
exponential,0.05,0.001426582672091013,1.0507098014932126
