kind,param,noise_std_psi,response_time_s
median,0.2,0.007918097377311202,1.9042788011720404
moving_average,0.2,0.3267010587570504,1.929335101187462
median,0.5,0.004267223868999668,1.9543914012028836
median,0.1,0.00998581400917093,1.9543914012028836
moving_average,0.1,0.20394536582830217,1.9543914012028836
moving_average,0.5,0.541058077217786,1.9543914012028836
exponential,0.05,0.0016891970028062389,1.9794477012183052
exponential,0.1,0.0026664551056036494,1.9794477012183052
exponential,0.2,0.004276673858891541,1.9794477012183052
exponential,0.3,0.005550220019321649,1.9794477012183052
exponential,0.5,0.007767944222603181,1.9794477012183052
moving_average,0.02,0.01445735819649117,1.9794477012183052
median,0.02,0.01445735819649117,1.9794477012183052
moving_average,0.05,0.01445735819649117,1.9794477012183052
median,0.05,0.01445735819649117,1.9794477012183052
