# port: port_b
# low_psia: 15.0
# high_psia: 50.0
# rate_psi_s: 10.0
# hold_s: 3.0
# cycles: 3

timestamp,elapsed_time,phase,transducer_pressure,alicat_pressure,alicat_setpoint
466479.3074501,0.10270340001443401,ramp_up_1,13.659150153398514,13.74,15.45
466479.3644274,0.15968069998780265,ramp_up_1,13.68636779487133,13.74,15.45
466479.3894255,0.18467879999661818,ramp_up_1,13.667701184749603,13.74,15.45
466479.4137542,0.20900749997235835,ramp_up_1,13.65151934325695,13.74,16.51
466479.4757555,0.2710088000167161,ramp_up_1,13.67905743420124,13.74,16.51
466479.5004217,0.2956750000012107,ramp_up_1,13.682500123977661,13.74,16.51
466479.5254333,0.3206865999964066,ramp_up_1,13.684628456830978,13.74,17.63
466479.5878996,0.3831528999726288,ramp_up_1,13.655423000454903,13.74,17.63
466479.6127404,0.4079937000060454,ramp_up_1,13.65467756986618,13.74,17.63
466479.6373226,0.4325758999912068,ramp_up_1,13.684983178973198,13.74,18.75
466479.6999319,0.4951852000085637,ramp_up_1,13.68420347571373,13.74,18.75
466479.7250953,0.5203485999954864,ramp_up_1,13.675331994891167,13.74,18.75
466479.7502048,0.5454580999794416,ramp_up_1,13.676786869764328,13.74,19.88
466479.8111416,0.6063949000090361,ramp_up_1,13.655813708901405,13.74,19.88
466479.8362561,0.631509399972856,ramp_up_1,13.646339029073715,13.74,19.88
466479.8608547,0.6561079999664798,ramp_up_1,13.652585223317146,13.74,20.98
466479.9237311,0.7189843999803998,ramp_up_1,13.673662915825844,13.74,20.98
466479.9482343,0.7434876000043005,ramp_up_1,13.65343689918518,13.74,20.98
466479.9733602,0.768613499996718,ramp_up_1,13.659575134515762,13.74,22.11
466480.0348859,0.8301391999702901,ramp_up_1,13.65975335240364,13.74,22.11
466480.0594155,0.8546688000205904,ramp_up_1,13.686900734901428,13.74,22.11
466480.0839836,0.8792369000148028,ramp_up_1,13.656771630048752,13.74,23.21
466480.1320555,0.9273087999899872,ramp_up_1,13.647403195500374,13.74,23.21
466480.1565587,0.9518120000138879,ramp_up_1,13.681932911276817,13.74,23.21
466480.181259,0.9765122999669984,ramp_up_1,13.660356551408768,13.74,23.21
466480.2064001,1.0016534000169486,ramp_up_1,13.633245155215263,13.74,24.44
466480.2603858,1.0556390999699943,ramp_up_1,13.679199665784836,13.74,24.44
466480.2855324,1.0807857000036165,ramp_up_1,13.70027907192707,13.74,24.44
466480.3106525,1.1059058000100777,ramp_up_1,13.661705181002617,13.74,25.48
466480.3710147,1.1662679999717511,ramp_up_1,13.67969661951065,13.74,25.48
466480.3960367,1.19128999998793,ramp_up_1,13.660072088241577,13.74,25.48
466480.4211519,1.2164052000152878,ramp_up_1,13.684415966272354,13.74,26.59
466480.4834,1.2786533000180498,ramp_up_1,13.682784587144852,13.74,26.59
466480.5083524,1.3036056999699213,ramp_up_1,13.66525411605835,13.74,26.59
466480.5331647,1.3284180000191554,ramp_up_1,13.680015355348587,13.74,27.71
466480.5947426,1.3899958999827504,ramp_up_1,13.655210509896278,13.74,27.71
466480.6197961,1.4150494000059552,ramp_up_1,13.648858070373535,13.74,27.71
466480.6443202,1.439573500014376,ramp_up_1,13.677674531936646,13.74,28.82
466480.7068889,1.5021422000136226,ramp_up_1,13.652407005429268,13.74,28.82
466480.7319292,1.5271824999945238,ramp_up_1,13.655955940485,13.74,28.82
466480.7569838,1.552237099967897,ramp_up_1,13.651661574840546,13.74,29.94
466480.8196217,1.6148749999701977,ramp_up_1,13.672208040952682,13.74,29.94
466480.8441114,1.639364700007718,ramp_up_1,13.654713556170464,13.74,29.94
466480.8692285,1.6644817999913357,ramp_up_1,13.658120259642601,13.74,31.07
466480.9311136,1.7263668999657966,ramp_up_1,13.668270111083984,13.74,31.07
466480.9560252,1.7512785000144504,ramp_up_1,13.664472699165344,13.74,31.07
466480.9807392,1.7759925000136718,ramp_up_1,13.642471358180046,13.74,32.18
466481.0425665,1.8378198000136763,ramp_up_1,13.650881871581078,13.74,32.18
466481.0671016,1.862354899989441,ramp_up_1,13.672315999865532,13.74,32.18
466481.0916798,1.8869331000023521,ramp_up_1,13.658440709114075,13.74,33.29
466481.1546437,1.9498969999840483,ramp_up_1,13.6651461571455,13.74,33.29
466481.1792473,1.9745006000157446,ramp_up_1,13.674408346414566,13.74,33.29
466481.2041507,1.9994040000019595,ramp_up_1,13.66262711584568,13.74,34.42
466481.2661673,2.061420599988196,ramp_up_1,13.680724799633026,13.74,34.42
466481.2911979,2.086451200011652,ramp_up_1,13.679518401622772,13.74,34.42
466481.3156033,2.110856599989347,ramp_up_1,13.643180802464485,13.74,35.53
466481.3777384,2.1729917000047863,ramp_up_1,13.690944910049438,13.74,35.53
466481.4022829,2.1975361999939196,ramp_up_1,13.678169772028923,13.74,35.53
466481.4268158,2.22206910001114,ramp_up_1,13.660569041967392,13.74,36.64
466481.4747916,2.2700449000112712,ramp_up_1,13.685764595866203,13.74,36.64
466481.4998443,2.295097599970177,ramp_up_1,13.68139997124672,13.74,36.64
466481.5247369,2.3199901999905705,ramp_up_1,13.654926046729088,13.74,36.64
466481.5497848,2.345038099971134,ramp_up_1,13.682109415531158,13.74,37.87
466481.6027835,2.398036799975671,ramp_up_1,13.674835041165352,13.74,37.87
466481.6272813,2.422534600016661,ramp_up_1,13.672350272536278,13.74,37.87
466481.6517265,2.4469798000063747,ramp_up_1,13.682818859815598,13.74,38.89
466481.7139233,2.509176599967759,ramp_up_1,13.65432284772396,13.74,38.89
466481.7384936,2.5337468999787234,ramp_up_1,13.64963948726654,13.74,38.89
466481.7631836,2.55843689996982,ramp_up_1,13.668552860617638,13.74,40.01
466481.8252501,2.6205033999867737,ramp_up_1,13.655637204647064,13.74,40.01
466481.8498745,2.6451278000022285,ramp_up_1,13.673911392688751,13.74,40.01
466481.8748466,2.67009989998769,ramp_up_1,13.666885495185852,13.74,41.12
466481.9229242,2.718177500006277,ramp_up_1,13.655919954180717,13.74,41.12
466481.9474956,2.7427488999674097,ramp_up_1,13.662591129541397,13.74,41.12
466481.9725168,2.767770099977497,ramp_up_1,13.669192045927048,13.74,41.12
466481.9974843,2.7927375999861397,ramp_up_1,13.654288575053215,13.74,42.35
466482.0506106,2.8458638999727555,ramp_up_1,13.660284578800201,13.74,42.35
466482.0755381,2.8707913999678567,ramp_up_1,13.693642169237137,13.74,42.35
466482.1005455,2.8957987999892794,ramp_up_1,13.638780191540718,13.74,43.38
466482.1620014,2.9572547000134364,ramp_up_1,13.69169034063816,13.74,43.38
466482.1867027,2.9819559999741614,ramp_up_1,13.67941215634346,13.74,43.38
466482.2116611,3.00691439997172,ramp_up_1,13.655743449926376,13.74,44.49
466482.2738379,3.069091200013645,ramp_up_1,13.669334277510643,13.74,44.49
466482.2985377,3.0937909999629483,ramp_up_1,13.672953471541405,13.74,44.49
466482.3235569,3.1188102000160143,ramp_up_1,13.664472699165344,13.74,45.61
466482.3854126,3.1806658999994397,ramp_up_1,13.677035346627235,13.74,45.61
466482.4101825,3.2054358000168577,ramp_up_1,13.65911416709423,13.74,45.61
466482.4350594,3.2303126999759115,ramp_up_1,13.669867217540741,13.74,46.72
466482.497226,3.2924792999983765,ramp_up_1,13.675863221287727,13.74,46.72
466482.522161,3.317414299992379,ramp_up_1,13.646764010190964,13.74,46.72
466482.5467503,3.3420035999733955,ramp_up_1,13.678347989916801,13.74,47.84
466482.6096996,3.404952900018543,ramp_up_1,13.652230501174927,13.74,47.84
466482.6346462,3.429899499984458,ramp_up_1,13.648575320839882,13.74,47.84
466482.6590474,3.45430069998838,ramp_up_1,13.683812767267227,13.74,48.96
466482.7216719,3.516925200005062,ramp_up_1,13.643819987773895,13.74,48.96
466482.7469205,3.5421738000004552,ramp_up_1,13.66227239370346,13.74,48.96
466482.7723267,3.567579999973532,ramp_up_1,13.643357306718826,13.74,50.0
466482.8329086,3.628161899978295,ramp_up_1,13.658723458647728,13.74,50.0
466482.8577285,3.652981799968984,ramp_up_1,13.68952602148056,13.74,50.0
466482.8823095,3.6775628000032157,ramp_up_1,13.646020293235779,13.74,50.0
466482.9449245,3.7401778000057675,ramp_up_1,13.663657009601593,13.74,50.0
466482.9699993,3.765252600016538,ramp_up_1,13.667524680495262,13.74,50.0
466482.9944436,3.7896968999993987,ramp_up_1,13.653649389743805,13.74,50.0
466483.056911,3.852164299983997,ramp_up_1,13.679305911064148,13.74,50.0
466483.0816288,3.8768821000121534,ramp_up_1,13.67022193968296,13.74,50.0
466483.1064437,3.90169699996477,ramp_up_1,13.645663857460022,13.74,50.0
466483.1691362,3.9643894999753684,ramp_up_1,13.65982361137867,13.74,50.0
466483.1942314,3.9894846999668516,ramp_up_1,13.67841824889183,13.74,50.0
466483.2193424,4.014595700020436,ramp_up_1,13.68356429040432,13.74,50.0
466483.2807524,4.076005699986126,ramp_up_1,13.683173581957817,13.74,50.0
466483.3057593,4.101012600003742,ramp_up_1,13.659256398677826,13.74,50.0
466483.3304952,4.1257484999950975,ramp_up_1,13.656629398465157,13.74,50.0
466483.3928834,4.188136700016912,ramp_up_1,13.683245554566383,13.74,50.0
466483.4174691,4.212722399970517,ramp_up_1,13.657481074333191,13.74,50.0
466483.4433756,4.238628899969626,ramp_up_1,13.695205003023148,13.74,50.0
466483.5050043,4.3002575999707915,ramp_up_1,13.667169958353043,13.74,50.0
466483.5297922,4.325045500008855,ramp_up_1,13.626714497804642,13.74,50.0
466483.5543361,4.34958939999342,ramp_up_1,13.678347989916801,13.74,50.0
466483.616065,4.411318300000858,ramp_up_1,13.658687472343445,13.74,50.0
466483.6411768,4.436430100002326,ramp_up_1,13.655777722597122,13.74,50.0
466483.665624,4.460877300007269,ramp_up_1,13.684876933693886,13.74,50.0
466483.7131575,4.508410800015554,ramp_up_1,13.660923764109612,13.74,50.0
466483.737693,4.532946299994364,ramp_up_1,13.657907769083977,13.74,50.0
466483.7623872,4.557640500017442,ramp_up_1,13.671959564089775,13.74,50.0
466483.78748,4.58273329999065,ramp_up_1,13.625544086098671,13.74,50.0
466483.8416151,4.636868399975356,hold_high_1,13.668163865804672,13.74,50.0
466483.8663596,4.6616128999739885,hold_high_1,13.67444433271885,13.74,50.0
466483.8914976,4.686750900000334,hold_high_1,13.641477450728416,13.74,50.0
466483.9522481,4.747501400008332,hold_high_1,13.66614006459713,13.74,50.0
466483.9768819,4.772135199978948,hold_high_1,13.681363984942436,13.74,50.0
466484.0019351,4.797188399999868,hold_high_1,13.661244213581085,13.74,50.0
466484.0643481,4.8596013999776915,hold_high_1,13.686686530709267,13.74,50.0
466484.0888845,4.884137799963355,hold_high_1,13.681221753358841,13.74,50.0
466484.1137153,4.908968599978834,hold_high_1,13.658510968089104,13.74,50.0
466484.1760843,4.971337599970866,hold_high_1,13.660320565104485,13.74,50.0
466484.2005389,4.995792199973948,hold_high_1,13.681860938668251,13.74,50.0
466484.2256068,5.0208600999903865,hold_high_1,13.680618554353714,13.74,50.0
466484.2883592,5.083612499991432,hold_high_1,13.668518587946892,13.74,50.0
466484.3133213,5.108574600017164,hold_high_1,13.66614006459713,13.74,50.0
466484.3382474,5.133500700001605,hold_high_1,13.657268583774567,13.74,50.0
466484.400012,5.195265299989842,hold_high_1,13.678347989916801,13.74,50.0
466484.4249034,5.220156700001098,hold_high_1,13.659965842962265,13.74,50.0
466484.4496106,5.244863900006749,hold_high_1,13.686474040150642,13.74,50.0
466484.512229,5.307482299976982,hold_high_1,13.659681379795074,13.74,50.0
466484.5372867,5.33253999997396,hold_high_1,13.645345121622086,13.74,50.0
466484.5616746,5.356927899993025,hold_high_1,13.675119504332542,13.74,50.0
466484.6240849,5.419338200008497,hold_high_1,13.659717366099358,13.74,50.0
466484.6488361,5.444089399999939,hold_high_1,13.654074370861053,13.74,50.0
466484.6747601,5.470013400015887,hold_high_1,13.667097985744476,13.74,50.0
466484.7361344,5.531387700000778,hold_high_1,13.63981008529663,13.74,50.0
466484.7609247,5.5561779999989085,hold_high_1,13.684664443135262,13.74,50.0
466484.7856686,5.580921899992973,hold_high_1,13.657232597470284,13.74,50.0
466484.8474625,5.642715799971484,hold_high_1,13.654571324586868,13.74,50.0
466484.8719103,5.667163599980995,hold_high_1,13.661208227276802,13.74,50.0
466484.8968552,5.692108499992173,hold_high_1,13.642222881317139,13.74,50.0
466484.9585709,5.753824200015515,hold_high_1,13.682536110281944,13.74,50.0
466484.9830238,5.778277100005653,hold_high_1,13.679945096373558,13.74,50.0
466485.0080649,5.8033181999926455,hold_high_1,13.658014014363289,13.74,50.0
466485.0557734,5.851026699994691,hold_high_1,13.668695092201233,13.74,50.0
466485.0804664,5.875719700008631,hold_high_1,13.68203915655613,13.74,50.0
466485.1051933,5.900446599989664,hold_high_1,13.657198324799538,13.74,50.0
466485.1305669,5.925820200005546,hold_high_1,13.688071146607399,13.74,50.0
466485.1833968,5.978650100005325,hold_high_1,13.674977272748947,13.74,50.0
