kind,param,noise_std_psi,response_time_s
moving_average,0.02,0.014616651709455256,0.014171949995215982
moving_average,0.05,0.014616651709455256,0.014171949995215982
exponential,0.05,0.0017799708727916671,0.022763840004336088
exponential,0.1,0.002854546592881836,0.022763840004336088
exponential,0.2,0.004569628661477595,0.022763840004336088
moving_average,0.2,0.328215738302443,0.027844380005262792
exponential,0.3,0.005864289063624529,0.10133940000087023
exponential,0.5,0.008050292299703585,0.6904202000005171
moving_average,0.5,0.542852503553179,1.7772006000042893
moving_average,0.1,0.20529487967071494,10.559938524995232
