# port: port_b
# ramp_rate_psi_s: 5.0
# start_pressure_psia: 30.0
# end_pressure_psia: 50.0
# settle_time_s: 3.0
# total_samples: 569

timestamp,elapsed_time,phase,transducer_voltage,transducer_pressure_calc,alicat_pressure,alicat_setpoint,alicat_gauge,alicat_baro,ramp_rate_commanded,offset_calc
460754.09235,0.0,start,1.535556435585022,29.77224752306938,29.9,30.0,16.168999999999997,13.731,0.0,-0.12775247693061687
460754.1285027,0.0,start,1.533042073249817,29.699959605932236,29.9,30.0,16.168999999999997,13.731,0.0,-0.20004039406776286
460754.1371059,0.0,start,1.539743185043335,29.89261656999588,29.9,30.0,16.168999999999997,13.731,0.0,-0.007383430004118452
460754.1454563,0.0,start,1.5379374027252197,29.840700328350067,29.94,30.0,16.209000000000003,13.731,0.0,-0.09929967164993414
460754.1765638,0.0,start,1.5378670692443848,29.838678240776062,29.94,30.0,16.209000000000003,13.731,0.0,-0.10132175922393927
460754.1859336,0.0,start,1.5357095003128052,29.77664813399315,29.94,30.0,16.209000000000003,13.731,0.0,-0.16335186600685248
460754.1942684,0.0,start,1.5397456884384155,29.892688542604446,29.94,30.0,16.209000000000003,13.731,0.0,-0.04731145739555487
460754.2032999,0.0,start,1.5366019010543823,29.802304655313492,29.93,30.0,16.198999999999998,13.731,0.0,-0.1276953446865079
460754.2405784,0.0,start,1.5367623567581177,29.806917756795883,29.93,30.0,16.198999999999998,13.731,0.0,-0.12308224320411654
460754.2493069,0.0,start,1.540322184562683,29.90926280617714,29.93,30.0,16.198999999999998,13.731,0.0,-0.020737193822860434
460754.2576709,0.0,start,1.5384286642074585,29.85482409596443,29.94,30.0,16.209000000000003,13.731,0.0,-0.08517590403556952
460754.2885151,0.0,start,1.5360440015792847,29.786265045404434,29.94,30.0,16.209000000000003,13.731,0.0,-0.15373495459556707
460754.2971925,0.0,start,1.5396432876586914,29.889744520187378,29.94,30.0,16.209000000000003,13.731,0.0,-0.05025547981262335
460754.3074471,0.0,start,1.5367079973220825,29.805354923009872,29.94,30.0,16.209000000000003,13.731,0.0,-0.13464507699012884
460754.3164551,0.0,start,1.5358489751815796,29.780658036470413,29.91,30.0,16.179000000000002,13.731,0.0,-0.12934196352958693
460754.3520025,0.0,start,1.5408775806427002,29.92523044347763,29.91,30.0,16.179000000000002,13.731,0.0,0.015230443477630473
460754.3605532,0.0,start,1.5373709201812744,29.82441395521164,29.91,30.0,16.179000000000002,13.731,0.0,-0.08558604478836074
460754.3693987,0.0,start,1.5393593311309814,29.881580770015717,29.93,30.0,16.198999999999998,13.731,0.0,-0.04841922998428316
460754.4006563,0.0,start,1.5399259328842163,29.89787057042122,29.93,30.0,16.198999999999998,13.731,0.0,-0.032129429578780844
460754.409775,0.0,start,1.5374597311019897,29.826967269182205,29.93,30.0,16.198999999999998,13.731,0.0,-0.10303273081779452
460754.4187253,0.0,start,1.5389002561569214,29.86838236451149,29.93,30.0,16.198999999999998,13.731,0.0,-0.06161763548850985
460754.4274192,0.0,start,1.5388002395629883,29.865506887435913,29.97,30.0,16.238999999999997,13.731,0.0,-0.10449311256408578
460754.4644366,0.0,start,1.5397469997406006,29.892726242542267,29.97,30.0,16.238999999999997,13.731,0.0,-0.07727375745773202
460754.4729319,0.0,start,1.5402110815048218,29.906068593263626,29.97,30.0,16.238999999999997,13.731,0.0,-0.06393140673637276
460754.4816941,0.0,start,1.5389496088027954,29.869801253080368,29.94,30.0,16.209000000000003,13.731,0.0,-0.07019874691963324
460754.5121014,0.0,start,1.5393643379211426,29.88172471523285,29.94,30.0,16.209000000000003,13.731,0.0,-0.05827528476715216
