name,kind,param,static_noise_std,ramp_lag_s,ramp_rmse,score,static_samples,ramp_samples
exp_0.3,exponential,0.3,0.0043921420555040665,0.017632550006965175,0.2806593761088352,2.039224675705582,2,4
exp_0.5,exponential,0.5,0.006145669006766826,0.008816275003482588,0.291575485438369,2.2416213963848786,2,4
exp_0.2,exponential,0.2,0.0034512172959010375,0.03526510001393035,0.2801441643075287,2.3734576333838766,2,4
exp_0.1,exponential,0.1,0.0023473821752530172,0.07934647503134329,0.35042104016420006,3.612279506212614,2,4
ma_0.1s,moving_average,0.1,0.006864492026798686,0.03966870001750067,1.703582703429697,4.502277295558154,2,4
exp_0.05,exponential,0.05,0.0017726592188219417,0.1630965500662569,0.7243708603985333,6.566987093597155,2,4
ma_0.05s,moving_average,0.05,0.011538376915739442,0.49821635070838965,1.1726462123068064,21.04500669229311,2,4
ma_0.2s,moving_average,0.2,0.00713712274968518,0.5377182007068768,2.3081225678518003,21.958384848942437,2,4
ma_0.5s,moving_average,0.5,0.008524119656065617,1.0388001250103116,3.7569976542522894,40.43478634862967,2,4
ma_1.0s,moving_average,1.0,0.011560980409949333,1.0474842500698287,5.332057195933947,42.711336480542265,2,4
