timestamp,transducer_voltage,transducer_pressure,transducer_pressure_raw,alicat_pressure_psia,alicat_setpoint_psia,alicat_baro_psia,alicat_gauge_psig,offset_psi
1775682676.5807273,0.9652621150016785,2.9713311910629274,2.8957863450050354,13.51,13.46,13.508,0.002000000000000668,-10.538668808937071
1775682676.6816988,1.0211989879608154,3.0082375001907353,3.0635969638824463,13.51,13.46,13.508,0.002000000000000668,-10.501762499809264
1775682676.782792,1.0144941806793213,3.0223355169296267,3.043482542037964,13.51,13.46,13.508,0.002000000000000668,-10.487664483070374
1775682676.88409,0.952778160572052,2.956735102844238,2.858334481716156,13.51,13.46,13.508,0.002000000000000668,-10.553264897155762
1775682676.9847994,0.7041465044021606,2.619016866989136,2.112439513206482,13.51,13.46,13.508,0.002000000000000668,-10.890983133010863
1775682677.0849895,0.7164490222930908,2.43114894694519,2.1493470668792725,13.51,13.46,13.508,0.002000000000000668,-11.078851053054809
1775682677.1857576,0.4064086675643921,1.9463797692443845,1.2192260026931763,13.51,13.46,13.508,0.002000000000000668,-11.563620230755616
1775682677.2860196,0.34786608815193176,1.585267167328949,1.0435982644557953,13.51,13.46,13.508,0.002000000000000668,-11.92473283267105
1775682677.3862414,0.29236117005348206,1.3019937044615477,0.8770835101604462,13.51,13.46,13.508,0.002000000000000668,-12.208006295538452
1775682677.4876173,-0.04880150407552719,0.7226344177862959,-0.14640451222658157,13.51,13.46,13.508,0.002000000000000668,-12.787365582213704
1775682677.587873,-0.0684107169508934,0.35148779033070543,-0.2052321508526802,13.51,13.46,13.508,0.002000000000000668,-13.158512209669293
1775682677.6890724,-0.12701743841171265,0.05847174810436806,-0.38105231523513794,13.51,13.46,13.508,0.002000000000000668,-13.451528251895631
1775682677.7894845,-0.15198281407356262,-0.14729632802565432,-0.45594844222068787,13.51,13.46,13.508,0.002000000000000668,-13.657296328025653
1775682677.889931,-0.18385441601276398,-0.30900309603070936,-0.5515632480382919,13.51,13.46,13.508,0.002000000000000668,-13.819003096030709
1775682677.9909563,-0.23741967976093292,-0.47030547333154515,-0.7122590392827988,13.51,13.46,13.508,0.002000000000000668,-13.980305473331544
1775682678.091297,-0.2429942786693573,-0.5737764184021559,-0.7289828360080719,13.51,13.46,13.508,0.002000000000000668,-14.083776418402156
1775682678.1928408,-0.2228926569223404,-0.6117370393481021,-0.6686779707670212,13.51,13.46,13.508,0.002000000000000668,-14.121737039348101
1775682678.294018,-0.058448754251003265,-0.4371807287100652,-0.1753462627530098,13.51,13.46,13.508,0.002000000000000668,-13.947180728710064
1775682678.394026,0.018224742263555527,-0.24043874650977246,0.05467422679066658,13.51,13.46,13.508,0.002000000000000668,-13.750438746509772
1775682678.4951086,0.2828112244606018,0.1951102214468587,0.8484336733818054,13.51,13.46,13.508,0.002000000000000668,-13.314889778553141
1775682678.5968487,0.7747299075126648,1.046742021883313,2.3241897225379944,13.51,13.46,13.508,0.002000000000000668,-12.463257978116687
1775682678.6977189,0.9137230515480042,1.7245128749875929,2.7411691546440125,13.51,13.46,13.508,0.002000000000000668,-11.785487125012407
1775682678.7992573,1.015389084815979,2.2531746267717305,3.046167254447937,13.51,13.46,13.508,0.002000000000000668,-11.256825373228269
1775682678.9004436,0.9961200952529907,2.5472488903666273,2.988360285758972,13.51,13.46,13.508,0.002000000000000668,-10.962751109633373
