kind,param,noise_std_psi,response_time_s
exponential,0.05,17.30167681868794,0.05675839999457821
exponential,0.1,17.512539428643173,0.05675839999457821
moving_average,0.05,17.516429992599782,0.05675839999457821
exponential,0.2,17.5181636462917,0.05675839999457821
moving_average,0.1,17.52248076579269,0.05675839999457821
moving_average,0.2,17.534030816058806,0.05675839999457821
moving_average,0.5,17.557744853610313,0.05675839999457821
exponential,0.3,17.517297556607968,0.06168353999964893
exponential,0.5,17.516664701361197,0.08128614000743255
moving_average,0.02,17.516277904588712,0.10615927999606356
