run_id,phase,elapsed_s,transducer_psi,transducer_raw_psi,alicat_psi,switch_activated
1,out,0.11201130005065352,19.971070575720198,19.971070575720198,20.0,False
1,out,0.15979170001810417,20.00014519038362,20.00014519038362,20.0,False
1,out,0.20811150001827627,19.980311291502243,19.980311291502243,20.0,False
1,out,0.2556530000292696,19.917047401508515,19.917047401508515,20.0,False
1,out,0.3035300000337884,19.83401826579673,19.83401826579673,19.9,False
1,out,0.352126500045415,19.79826369834287,19.79826369834287,19.84,False
1,out,0.39958010002737865,19.715770057304926,19.715770057304926,19.78,False
1,out,0.44759049999993294,19.66977930320097,19.66977930320097,19.72,False
1,out,0.49533540004631504,19.597058439960755,19.597058439960755,19.66,False
1,out,0.543401500035543,19.53489300058005,19.53489300058005,19.6,False
1,out,0.5915787000558339,19.493841841576522,19.493841841576522,19.55,False
1,out,0.6398041000356898,19.429936044505812,19.429936044505812,19.49,False
1,out,0.6879347000503913,19.398376185330427,19.398376185330427,19.44,False
1,out,0.7351403000066057,19.310513866921344,19.310513866921344,19.38,False
1,out,0.7831170000135899,19.295231672767677,19.295231672767677,19.33,False
1,out,0.8313787000370212,19.21589950990034,19.21589950990034,19.28,False
1,out,0.8789972000522539,19.151104654364712,19.151104654364712,19.23,False
1,out,0.9268321000272408,19.108347464252837,19.108347464252837,19.18,False
1,out,0.9751296000322327,19.090755091153657,19.090755091153657,19.13,False
1,out,1.0228306000353768,19.013379543440767,19.013379543440767,19.08,False
1,out,1.071040200011339,18.981177777188396,18.981177777188396,19.03,False
1,out,1.1189623000100255,18.923385544310786,18.923385544310786,18.98,False
1,out,1.1670513999997638,18.86260689882902,18.86260689882902,18.93,False
1,out,1.2146971000474878,18.821483654004016,18.821483654004016,18.88,False
1,out,1.2625149000086822,18.77506725028751,18.77506725028751,18.83,False
1,out,1.3110293000354432,18.707251655566072,18.707251655566072,18.78,False
1,out,1.3585752000217326,18.6989343248306,18.6989343248306,18.73,False
1,out,1.4065442000282928,18.620988955862202,18.620988955862202,18.68,False
1,out,1.4543290000292473,18.589000014416104,18.589000014416104,18.63,False
1,out,1.5023224000469781,18.522821797639704,18.522821797639704,18.59,False
1,out,1.5505609000101686,18.51443238108275,18.51443238108275,18.54,False
1,out,1.5982818000484258,18.410326724233606,18.410326724233606,18.49,False
1,out,1.6464844000292942,18.416975783100554,18.416975783100554,18.44,False
1,out,1.6942329000448808,18.334516468644267,18.334516468644267,18.39,False
1,out,1.7425892000319436,18.2522356524126,18.2522356524126,18.34,False
1,out,1.7901577000156976,18.255826212853915,18.255826212853915,18.3,False
1,out,1.8380299000418745,18.180084610427894,18.180084610427894,18.25,False
1,out,1.8860337000223808,18.142122843773492,18.142122843773492,18.2,False
1,out,1.9342581000528298,18.083942720523154,18.083942720523154,18.15,False
1,out,1.9828286000411026,18.07007821419192,18.07007821419192,18.1,False
1,out,2.0297091000247747,17.970668433713442,17.970668433713442,18.05,False
1,out,2.077790000010282,17.982964215262957,17.982964215262957,18.01,False
1,out,2.1256364000146277,17.906618464999774,17.906618464999774,17.96,False
1,out,2.173779500008095,17.856717913245088,17.856717913245088,17.91,False
1,out,2.2221721000387333,17.80926827942071,17.80926827942071,17.86,False
1,out,2.269927200046368,17.783180077361443,17.783180077361443,17.81,False
1,out,2.3177325000287965,17.691373634719977,17.691373634719977,17.77,False
1,out,2.365607000014279,17.681848008310176,17.681848008310176,17.72,False
1,out,2.413725400052499,17.609769052146948,17.609769052146948,17.67,False
1,out,2.461608200042974,17.573338251034446,17.573338251034446,17.62,False
1,out,2.509473000012804,17.51433772248251,17.51433772248251,17.58,False
1,out,2.5571066000266,17.48771402574939,17.48771402574939,17.53,False
1,out,2.6056105000316165,17.400600026820428,17.400600026820428,17.48,False
1,out,2.653081500029657,17.395128369704313,17.395128369704313,17.43,False
1,out,2.701226100034546,17.307372463698364,17.307372463698364,17.38,False
1,out,2.749080900044646,17.28682800457669,17.28682800457669,17.34,False
1,out,2.7974841000395827,17.226725592753567,17.226725592753567,17.29,False
1,out,2.8450103000504896,17.192072908570893,17.192072908570893,17.24,False
1,out,2.8928912000264972,17.137727064491635,17.137727064491635,17.19,False
1,out,2.9410549000022,17.08452086292339,17.08452086292339,17.14,False
1,out,2.988870000001043,17.07200882390944,17.07200882390944,17.1,False
1,out,3.0370659000473097,16.973735253283806,16.973735253283806,17.05,False
1,out,3.08509020000929,16.965630747354602,16.965630747354602,17.0,False
1,out,3.132808100024704,16.903218156585968,16.903218156585968,16.95,False
1,out,3.1810853000497445,16.850863254242814,16.850863254242814,16.9,False
1,out,3.2295476000290364,16.795453286132194,16.795453286132194,16.86,False
1,out,3.2774886000552215,16.767195644112206,16.767195644112206,16.81,False
1,out,3.325328200007789,16.66760736540911,16.66760736540911,16.76,False
1,out,3.3728105000336654,16.67609976171104,16.67609976171104,16.71,False
1,out,3.4211270000087097,16.618132463266974,16.618132463266974,16.66,False
1,out,3.46904400002677,16.56687944419501,16.56687944419501,16.62,False
1,out,3.5168604000355117,16.488614838017202,16.488614838017202,16.57,False
1,out,3.564798100036569,16.4682832037018,16.4682832037018,16.52,False
1,out,3.612845499999821,16.402921959568836,16.402921959568836,16.47,False
1,out,3.6606629000161774,16.382411827028818,16.382411827028818,16.42,False
1,out,3.708615000010468,16.31545096419064,16.31545096419064,16.38,False
1,out,3.7568740000133403,16.289184263906755,16.289184263906755,16.33,False
1,out,3.80460320005659,16.223146786115148,16.223146786115148,16.28,False
1,out,3.8526524000335485,16.184333720235653,16.184333720235653,16.23,False
1,out,3.9011110000428744,16.118759651296415,16.118759651296415,16.18,False
1,out,3.948740700026974,16.096615573469528,16.096615573469528,16.14,False
1,out,3.995852800027933,16.031714305530762,16.031714305530762,16.09,False
1,out,4.0445121000520885,15.982098664403834,15.982098664403834,16.04,False
1,out,4.092561100027524,15.96286891335962,15.96286891335962,15.99,False
1,out,4.139866800047457,15.887837871173895,15.887837871173895,15.95,False
1,out,4.189048200030811,15.851870478913762,15.851870478913762,15.9,False
1,out,4.236962000024505,15.784765444432622,15.784765444432622,15.85,False
1,out,4.284910100046545,15.764931545551248,15.764931545551248,15.8,False
1,out,4.333042700018268,15.673694924165286,15.673694924165286,15.75,False
