# port: port_b
# start_pressure_psia: 0.1
# end_pressure_psia: 20.0
# rate_psi_s: 1.2
# no_dio: 9
# nc_dio: 11
# com_dio: 12

timestamp,elapsed_time,phase,transducer_voltage,transducer_pressure_calc,alicat_pressure,no_active,nc_active,switch_activated,com_state
514673.7140274,30.359185300010722,settle_start,0.9665037989616394,13.411984220147133,13.52,False,True,False,0
514673.7667721,30.41193000000203,settle_start,0.9662680625915527,13.405206799507141,13.52,False,True,False,0
514673.7917101,30.436868000018876,settle_start,0.9665889739990234,13.414433002471924,13.52,False,True,False,0
514673.8168454,30.462003300024662,settle_start,0.966066837310791,13.399421572685242,13.52,False,True,False,0
514673.8620797,30.507237599988002,settle_start,0.967175304889679,13.43129001557827,13.52,False,True,False,0
514673.8868656,30.532023500010837,settle_start,0.9670407176017761,13.427420631051064,13.52,False,True,False,0
514673.912257,30.557414899987634,settle_start,0.9656854867935181,13.388457745313644,13.52,False,True,False,0
514673.9374453,30.582603199989535,settle_start,0.9660360217094421,13.398535624146461,13.52,False,True,False,0
514673.9906227,30.635780600016005,settle_start,0.9663779139518738,13.408365026116371,13.52,False,True,False,0
514674.0154161,30.660573999979533,settle_start,0.9659273624420166,13.395411670207977,13.52,False,True,False,0
514674.0400754,30.685233299969696,settle_start,0.9668148756027222,13.420927673578262,13.52,False,True,False,0
514674.0867719,30.731929800007492,settle_start,0.9667025208473206,13.417697474360466,13.52,False,True,False,0
514674.1115533,30.75671119999606,settle_start,0.966077983379364,13.399742022156715,13.52,False,True,False,0
514674.1360811,30.78123899997445,settle_start,0.9668296575546265,13.42135265469551,13.52,False,True,False,0
514674.1609236,30.80608150002081,settle_start,0.967224657535553,13.432708904147148,13.52,False,True,False,0
514674.2151177,30.86027559998911,settle_start,0.9662730097770691,13.405349031090736,13.52,False,True,False,0
514674.2407203,30.88587820000248,settle_start,0.9663026332855225,13.40620070695877,13.52,False,True,False,0
514674.267008,30.912165899993852,settle_start,0.9665618538856506,13.413653299212456,13.52,False,True,False,0
514674.3262689,30.971426800009795,settle_start,0.965359628200531,13.379089310765266,13.52,False,True,False,0
514674.3511144,30.99627230002079,settle_start,0.9670950770378113,13.428983464837074,13.52,False,True,False,0
514674.3759104,31.021068300004117,settle_start,0.9659582376480103,13.396299332380295,13.52,False,True,False,0
514674.4226334,31.067791300010867,settle_start,0.9663631319999695,13.407940044999123,13.52,False,True,False,0
514674.4476005,31.092758400016464,settle_start,0.9670740962028503,13.428380265831947,13.52,False,True,False,0
514674.4725006,31.11765849997755,settle_start,0.9663692712783813,13.408116549253464,13.52,False,True,False,0
514674.4974572,31.14261510001961,settle_start,0.9657113552093506,13.38920146226883,13.52,False,True,False,0
514674.5499533,31.1951111999806,settle_start,0.966640830039978,13.415923863649368,13.52,False,True,False,0
514674.5745681,31.219725999981165,settle_start,0.9672839045524597,13.434412255883217,13.52,False,True,False,0
514674.5994057,31.244563599990215,settle_start,0.9665346741676331,13.41287188231945,13.52,False,True,False,0
514674.6459218,31.291079699993134,settle_start,0.9666926860809326,13.417414724826813,13.52,False,True,False,0
514674.6706433,31.315801199991256,settle_start,0.9668111801147461,13.42082142829895,13.52,False,True,False,0
514674.6950129,31.34017079998739,settle_start,0.9660792350769043,13.399778008460999,13.52,False,True,False,0
514674.7201501,31.365308000007644,settle_start,0.9663988947868347,13.408968225121498,13.52,False,True,False,0
514674.7732521,31.41840999998385,settle_start,0.9669247269630432,13.424085900187492,13.52,False,True,False,0
514674.7975566,31.44271450000815,settle_start,0.9656064510345459,13.386185467243195,13.52,False,True,False,0
514674.8223321,31.467490000010002,settle_start,0.9674530029296875,13.439273834228516,13.52,False,True,False,0
514674.869103,31.514260899974033,settle_start,0.9666630625724792,13.416563048958778,13.52,False,True,False,0
514674.8935299,31.538687799999025,settle_start,0.9661137461662292,13.40077020227909,13.52,False,True,False,0
514674.9182143,31.563372200005688,settle_start,0.9653670191764832,13.37930180132389,13.52,False,True,False,0
514674.9429258,31.588083699985873,settle_start,0.96698397397995,13.425789251923561,13.52,False,True,False,0
514674.9967172,31.64187509997282,settle_start,0.9662235975265503,13.403928428888321,13.52,False,True,False,0
514675.0211643,31.666322199977003,settle_start,0.9663310050964355,13.407016396522522,13.52,False,True,False,0
514675.0461265,31.691284400003497,settle_start,0.9673493504524231,13.436293825507164,13.52,False,True,False,0
514675.0932731,31.738430999976117,settle_start,0.9658755660057068,13.39392252266407,13.52,False,True,False,0
514675.1176725,31.76283040002454,settle_start,0.9657903909683228,13.39147374033928,13.52,False,True,False,0
514675.1421917,31.78734959999565,settle_start,0.966485321521759,13.411452993750572,13.52,False,True,False,0
514675.1671116,31.81226949999109,settle_start,0.9665470123291016,13.41322660446167,13.52,False,True,False,0
514675.2208032,31.86596109997481,settle_start,0.9659779667854309,13.396866545081139,13.52,False,True,False,0
514675.2451698,31.89032770000631,settle_start,0.9660100936889648,13.39779019355774,13.52,False,True,False,0
514675.2696093,31.91476720001083,settle_start,0.9663347005844116,13.407122641801834,13.52,False,True,False,0
514675.3162813,31.961439199978486,settle_start,0.9658706188201904,13.393780291080475,13.52,False,True,False,0
514675.3405084,31.9856662999955,settle_start,0.9660310745239258,13.398393392562866,13.52,False,True,False,0
514675.3647521,32.0099100000225,settle_start,0.9665408730506897,13.413050100207329,13.52,False,True,False,0
514675.3896982,32.03485609998461,settle_start,0.966152012348175,13.401870355010033,13.52,False,True,False,0
514675.4446634,32.08982130000368,settle_start,0.9667284488677979,13.418442904949188,13.52,False,True,False,0
514675.4691709,32.11432880000211,settle_start,0.9668704271316528,13.422524780035019,13.52,False,True,False,0
514675.4933736,32.13853150000796,settle_start,0.9658200144767761,13.392325416207314,13.52,False,True,False,0
514675.5405062,32.18566409999039,settle_start,0.9658545851707458,13.393319323658943,13.52,False,True,False,0
514675.5649294,32.21008729998721,settle_start,0.9671876430511475,13.43164473772049,13.52,False,True,False,0
514675.58951,32.234667900018394,settle_start,0.9670901298522949,13.428841233253479,13.52,False,True,False,0
514675.6141393,32.25929720001295,settle_start,0.9665828347206116,13.414256498217583,13.52,False,True,False,0
514675.6683148,32.313472700014245,settle_start,0.9666075110435486,13.414965942502022,13.52,False,True,False,0
514675.6932034,32.33836130000418,settle_start,0.9658323526382446,13.392680138349533,13.52,False,True,False,0
514675.8036375,32.448795399977826,ramping,0.9659063816070557,13.39480847120285,13.52,False,True,False,0
514675.8597961,32.504954000003636,ramping,0.9671345353126526,13.430117890238762,13.52,False,True,False,0
514675.8843422,32.52950010000495,ramping,0.9669049978256226,13.423518687486649,13.52,False,True,False,0
514675.908947,32.55410489998758,ramping,0.966449499130249,13.41042309999466,13.52,False,True,False,0
514675.9566098,32.60176769999089,ramping,0.9671863913536072,13.431608751416206,13.52,False,True,False,0
514675.9809767,32.62613460002467,ramping,0.9661705493927002,13.40240329504013,13.52,False,True,False,0
514676.0052362,32.65039409999736,ramping,0.9656768441200256,13.388209268450737,13.52,False,True,False,0
514676.0296736,32.674831499985885,ramping,0.9666741490364075,13.416881784796715,13.52,False,True,False,0
514676.0840036,32.729161499999464,ramping,0.9669407606124878,13.424546867609024,13.52,False,True,False,0
514676.1087409,32.75389880000148,ramping,0.9654867053031921,13.382742777466774,13.52,False,True,False,0
514676.1335711,32.77872900001239,ramping,0.9671654105186462,13.43100555241108,13.52,False,True,False,0
514676.1799725,32.82513040001504,ramping,0.9666642546653748,13.416597321629524,13.52,False,True,False,0
514676.2042818,32.84943970001768,ramping,0.9658780097961426,13.3939927816391,13.52,False,True,False,0
514676.2288814,32.87403930001892,ramping,0.9661779403686523,13.402615785598755,13.52,False,True,False,0
514676.2535338,32.89869170001475,ramping,0.9670296311378479,13.427101895213127,13.52,False,True,False,0
514676.3078576,32.95301549998112,ramping,0.9655830264091492,13.385512009263039,13.52,False,True,False,0
514676.3327006,32.97785849997308,ramping,0.9658101201057434,13.392040953040123,13.52,False,True,False,0
514676.3581394,33.00329730001977,ramping,0.9669654369354248,13.425256311893463,13.52,False,True,False,0
514676.4050412,33.050199099991005,ramping,0.9657237529754639,13.389557898044586,13.52,False,True,False,0
514676.4295376,33.074695500021335,ramping,0.9661421775817871,13.40158760547638,13.52,False,True,False,0
514676.4545337,33.09969160001492,ramping,0.9667790532112122,13.41989777982235,13.52,False,True,False,0
514676.4791508,33.12430869997479,ramping,0.9664531946182251,13.410529345273972,13.52,False,True,False,0
514676.5315907,33.17674859997351,ramping,0.9664914608001709,13.411629498004913,13.52,False,True,False,0
514676.5561617,33.2013195999898,ramping,0.9668901562690735,13.423091992735863,13.52,False,True,False,0
514676.5806773,33.22583519999171,ramping,0.9658792614936829,13.394028767943382,13.52,False,True,False,0
514676.6276708,33.27282870002091,ramping,0.9660680890083313,13.399457558989525,13.52,False,True,False,0
514676.6522235,33.297381400014274,ramping,0.9669481515884399,13.424759358167648,13.52,False,True,False,0
514676.6767421,33.321899999980815,ramping,0.966828465461731,13.421318382024765,13.52,False,True,False,0
514676.7011129,33.34627079998609,ramping,0.9659619331359863,13.396405577659607,13.52,False,True,False,0
514676.7553905,33.40054840000812,ramping,0.9666815400123596,13.417094275355339,13.52,False,True,False,0
514676.7799397,33.42509759997483,ramping,0.9668358564376831,13.42153087258339,13.52,False,True,False,0
514676.8047094,33.44986729999073,ramping,0.9654657244682312,13.382139578461647,13.52,False,True,False,0
514676.8515991,33.496756999986246,ramping,0.966498851776123,13.411841988563538,13.52,False,True,False,0
514676.8765158,33.521673700015526,ramping,0.9669457077980042,13.42468909919262,13.52,False,True,False,0
514676.9014997,33.546657599974424,ramping,0.9661681056022644,13.402333036065102,13.52,False,True,False,0
514676.9262862,33.57144410000183,ramping,0.9663976430892944,13.408932238817215,13.52,False,True,False,0
514676.9787084,33.62386629998218,ramping,0.9666001200675964,13.414753451943398,13.52,False,True,False,0
514677.003728,33.64888589998009,ramping,0.9656052589416504,13.386151194572449,13.52,False,True,False,0
514677.0278323,33.672990199993365,ramping,0.9673407077789307,13.436045348644257,13.52,False,True,False,0
514677.0749004,33.72005830000853,ramping,0.9673209190368652,13.435476422309875,13.52,False,True,False,0
514677.0996544,33.744812300021295,ramping,0.9657459259033203,13.390195369720459,13.52,False,True,False,0
514677.1241274,33.76928529998986,ramping,0.9657335877418518,13.38984064757824,13.52,False,True,False,0
514677.1484439,33.79360179998912,ramping,0.9671345353126526,13.430117890238762,13.52,False,True,False,0
514677.2027256,33.847883499984164,ramping,0.9661285877227783,13.401196897029877,13.52,False,True,False,0
514677.2280245,33.87318240001332,ramping,0.9656015038490295,13.3860432356596,13.52,False,True,False,0
514677.2526954,33.897853299975395,ramping,0.9669790267944336,13.425647020339966,13.52,False,True,False,0
514677.2984296,33.94358750001993,ramping,0.9660125374794006,13.397860452532768,13.52,False,True,False,0
514677.3232408,33.96839870000258,ramping,0.9659656286239624,13.396511822938919,13.52,False,True,False,0
514677.3474333,33.992591199988965,ramping,0.9670197367668152,13.426817432045937,13.52,False,True,False,0
514677.3720529,34.01721080002608,ramping,0.9661186933517456,13.400912433862686,13.52,False,True,False,0
514677.4263769,34.07153479999397,ramping,0.9661569595336914,13.402012586593628,13.52,False,True,False,0
514677.4510245,34.09618240001146,ramping,0.9669185280799866,13.423907682299614,13.52,False,True,False,0
514677.4755347,34.120692599972244,ramping,0.9659495949745178,13.396050855517387,13.52,False,True,False,0
514677.5222981,34.16745599999558,ramping,0.9663335084915161,13.407088369131088,13.52,False,True,False,0
514677.5471004,34.19225830002688,ramping,0.9665766358375549,13.414078280329704,13.52,False,True,False,0
514677.571655,34.2168128999765,ramping,0.9667950868606567,13.420358747243881,13.52,False,True,False,0
514677.5966151,34.241772999987006,ramping,0.9663137197494507,13.406519442796707,13.52,False,True,False,0
514677.6499392,34.29509710002458,ramping,0.9668235182762146,13.42117615044117,13.52,False,True,False,0
514677.6742705,34.319428400020115,ramping,0.9662162065505981,13.403715938329697,13.52,False,True,False,0
514677.6986112,34.343769099970814,ramping,0.9661409258842468,13.401551619172096,13.52,False,True,False,0
514677.7461812,34.3913391000242,ramping,0.9665569067001343,13.41351106762886,13.52,False,True,False,0
514677.7706694,34.41582729999209,ramping,0.967139482498169,13.430260121822357,13.52,False,True,False,0
514677.7948963,34.44005420000758,ramping,0.9659212231636047,13.395235165953636,13.52,False,True,False,0
