# port: port_a
# ramp_rate_psi_s: 10.0
# start_pressure_psia: 50.0
# end_pressure_psia: 100.0
# settle_time_s: 3.0
# total_samples: 675

timestamp,elapsed_time,phase,transducer_voltage,transducer_pressure_calc,alicat_pressure,alicat_setpoint,alicat_gauge,alicat_baro,ramp_rate_commanded,offset_calc
454393.2931623,0.0,start,2.2471261024475098,50.229875445365906,49.77,50.0,36.026,13.744,0.0,0.45987544536590264
454393.3297634,0.0,start,2.2476532459259033,50.24503082036972,49.77,50.0,36.026,13.744,0.0,0.47503082036971733
454393.3380523,0.0,start,2.248922109603882,50.2815106511116,49.77,50.0,36.026,13.744,0.0,0.5115106511115997
454393.346197,0.0,start,2.2477779388427734,50.248615741729736,49.81,50.0,36.066,13.744,0.0,0.43861574172973405
454393.3793913,0.0,start,2.2487542629241943,50.27668505907059,49.81,50.0,36.066,13.744,0.0,0.4666850590705849
454393.387713,0.0,start,2.248732089996338,50.276047587394714,49.81,50.0,36.066,13.744,0.0,0.4660475873947121
454393.3961798,0.0,start,2.249840497970581,50.307914316654205,49.81,50.0,36.066,13.744,0.0,0.49791431665420305
454393.4042655,0.0,start,2.250147819519043,50.316749811172485,49.85,50.0,36.106,13.744,0.0,0.46674981117248393
454393.441556,0.0,start,2.2499823570251465,50.31199276447296,49.85,50.0,36.106,13.744,0.0,0.46199276447296
454393.4500217,0.0,start,2.25022554397583,50.318984389305115,49.85,50.0,36.106,13.744,0.0,0.4689843893051133
454393.4582171,0.0,start,2.250134229660034,50.31635910272598,49.88,50.0,36.136,13.744,0.0,0.4363591027259801
454393.4894248,0.0,start,2.2510018348693848,50.34130275249481,49.88,50.0,36.136,13.744,0.0,0.46130275249480945
454393.4982405,0.0,start,2.2516586780548096,50.360186994075775,49.88,50.0,36.136,13.744,0.0,0.4801869940757726
454393.5068295,0.0,start,2.251345157623291,50.35117328166962,49.88,50.0,36.136,13.744,0.0,0.47117328166961414
454393.515302,0.0,start,2.2519326210021973,50.36806285381317,49.9,50.0,36.156,13.744,0.0,0.4680628538131728
454393.5535821,0.0,start,2.2515487670898438,50.35702705383301,49.9,50.0,36.156,13.744,0.0,0.45702705383300923
454393.5625118,0.0,start,2.250847578048706,50.3368678689003,49.9,50.0,36.156,13.744,0.0,0.4368678689003005
454393.5709979,0.0,start,2.2511401176452637,50.34527838230133,49.92,50.0,36.176,13.744,0.0,0.42527838230132886
454393.6020886,0.0,start,2.2526004314422607,50.387262403964996,49.92,50.0,36.176,13.744,0.0,0.46726240396499463
454393.6104606,0.0,start,2.2526497840881348,50.388681292533875,49.92,50.0,36.176,13.744,0.0,0.4686812925338728
454393.6185966,0.0,start,2.252128839492798,50.37370413541794,49.92,50.0,36.176,13.744,0.0,0.4537041354179365
454393.6267856,0.0,start,2.253333568572998,50.408340096473694,49.93,50.0,36.186,13.744,0.0,0.47834009647369413
454393.6656775,0.0,start,2.2523436546325684,50.37988007068634,49.93,50.0,36.186,13.744,0.0,0.4498800706863406
454393.6742332,0.0,start,2.2526140213012695,50.3876531124115,49.93,50.0,36.186,13.744,0.0,0.4576531124114993
454393.6825608,0.0,start,2.253039836883545,50.39989531040192,49.95,50.0,36.206,13.744,0.0,0.44989531040191366
