# port: port_b
# ramp_rate_psi_s: 5.0
# start_pressure_psia: 15.0
# end_pressure_psia: 27.0
# settle_time_s: 3.0
# total_samples: 511

timestamp,elapsed_time,phase,transducer_voltage,transducer_pressure_calc,alicat_pressure,alicat_setpoint,alicat_gauge,alicat_baro,ramp_rate_commanded,offset_calc
453315.8857015,0.0,start,1.0258042812347412,15.11687308549881,15.2,15.0,1.4499999999999993,13.75,0.0,-0.08312691450118948
453315.9225898,0.0,start,1.0234540700912476,15.049304515123367,15.2,15.0,1.4499999999999993,13.75,0.0,-0.15069548487663198
453315.9314787,0.0,start,1.0231010913848877,15.039156377315521,15.2,15.0,1.4499999999999993,13.75,0.0,-0.16084362268447805
453315.939913,0.0,start,1.021732211112976,14.999801069498062,15.1,15.0,1.3499999999999996,13.75,0.0,-0.10019893050193751
453315.9707325,0.0,start,1.0208830833435059,14.975388646125793,15.1,15.0,1.3499999999999996,13.75,0.0,-0.12461135387420619
453315.9794808,0.0,start,1.0211323499679565,14.98255506157875,15.1,15.0,1.3499999999999996,13.75,0.0,-0.11744493842124903
453315.9879627,0.0,start,1.0220396518707275,15.008639991283417,15.1,15.0,1.3499999999999996,13.75,0.0,-0.0913600087165829
453315.9965924,0.0,start,1.0217581987380981,15.000548213720322,15.07,15.0,1.3200000000000003,13.75,0.0,-0.06945178627967863
453316.0339682,0.0,start,1.0202140808105469,14.956154823303223,15.07,15.0,1.3200000000000003,13.75,0.0,-0.11384517669677763
453316.0423057,0.0,start,1.0203609466552734,14.960377216339111,15.07,15.0,1.3200000000000003,13.75,0.0,-0.10962278366088896
453316.0506934,0.0,start,1.0199363231658936,14.94816929101944,15.05,15.0,1.3000000000000007,13.75,0.0,-0.10183070898056101
453316.083237,0.0,start,1.0194895267486572,14.935323894023895,15.05,15.0,1.3000000000000007,13.75,0.0,-0.11467610597610545
453316.0918467,0.0,start,1.0206090211868286,14.967509359121323,15.05,15.0,1.3000000000000007,13.75,0.0,-0.08249064087867808
453316.1006184,0.0,start,1.0205917358398438,14.967012405395508,15.05,15.0,1.3000000000000007,13.75,0.0,-0.0829875946044929
453316.1091767,0.0,start,1.0196795463562012,14.940786957740784,15.03,15.0,1.2799999999999994,13.75,0.0,-0.08921304225921567
453316.1457295,0.0,start,1.0195252895355225,14.93635207414627,15.03,15.0,1.2799999999999994,13.75,0.0,-0.09364792585372861
453316.1542236,0.0,start,1.0196055173873901,14.938658624887466,15.03,15.0,1.2799999999999994,13.75,0.0,-0.09134137511253293
453316.16287,0.0,start,1.018974781036377,14.920524954795837,15.02,15.0,1.2699999999999996,13.75,0.0,-0.09947504520416217
453316.1944301,0.0,start,1.0196882486343384,14.941037148237228,15.02,15.0,1.2699999999999996,13.75,0.0,-0.07896285176277118
453316.2028323,0.0,start,1.019315481185913,14.930320084095001,15.02,15.0,1.2699999999999996,13.75,0.0,-0.08967991590499835
453316.2115447,0.0,start,1.01934015750885,14.93102952837944,15.02,15.0,1.2699999999999996,13.75,0.0,-0.08897047162055927
453316.2195905,0.0,start,1.0191859006881714,14.926594644784927,15.01,15.0,1.2599999999999998,13.75,0.0,-0.08340535521507242
453316.2578618,0.0,start,1.0187057256698608,14.9127896130085,15.01,15.0,1.2599999999999998,13.75,0.0,-0.09721038699150064
453316.2658833,0.0,start,1.0186353921890259,14.910767525434494,15.01,15.0,1.2599999999999998,13.75,0.0,-0.09923247456550577
453316.2743733,0.0,start,1.0186785459518433,14.912008196115494,15.0,15.0,1.25,13.75,0.0,-0.08799180388450623
453316.3063039,0.0,start,1.0189623832702637,14.92016851902008,15.0,15.0,1.25,13.75,0.0,-0.07983148097991943
453316.3151035,0.0,start,1.0190426111221313,14.922475069761276,15.0,15.0,1.25,13.75,0.0,-0.07752493023872375
453316.3234849,0.0,start,1.0182589292526245,14.899944216012955,15.0,15.0,1.25,13.75,0.0,-0.10005578398704529
453316.3318674,0.0,start,1.0188933610916138,14.918184131383896,15.0,15.0,1.25,13.75,0.0,-0.08181586861610413
453316.3702065,0.0,start,1.0186032056808472,14.909842163324356,15.0,15.0,1.25,13.75,0.0,-0.09015783667564392
453316.3789096,0.0,start,1.0183193683624268,14.90168184041977,15.0,15.0,1.25,13.75,0.0,-0.09831815958023071
453316.3870997,0.0,start,1.0188896656036377,14.918077886104584,14.99,15.0,1.2400000000000002,13.75,0.0,-0.07192211389541647
453316.4183059,0.0,start,1.0187329053878784,14.913571029901505,14.99,15.0,1.2400000000000002,13.75,0.0,-0.0764289700984957
453316.4266758,0.0,start,1.018408179283142,14.904235154390335,14.99,15.0,1.2400000000000002,13.75,0.0,-0.08576484560966513
453316.4351603,0.0,start,1.0176478624343872,14.882376044988632,14.99,15.0,1.2400000000000002,13.75,0.0,-0.10762395501136801
453316.443777,0.0,start,1.0175516605377197,14.879610240459442,14.98,15.0,1.2300000000000004,13.75,0.0,-0.10038975954055829
453316.4815238,0.0,start,1.0178959369659424,14.889508187770844,14.98,15.0,1.2300000000000004,13.75,0.0,-0.09049181222915692
453316.4903682,0.0,start,1.0178194046020508,14.88730788230896,14.98,15.0,1.2300000000000004,13.75,0.0,-0.09269211769104047
453316.4989134,0.0,start,1.0182008743286133,14.898275136947632,14.97,15.0,1.2200000000000006,13.75,0.0,-0.0717248630523688
453316.5297839,0.0,start,1.0174553394317627,14.876841008663177,14.97,15.0,1.2200000000000006,13.75,0.0,-0.09315899133682315
453316.5383515,0.0,start,1.0161457061767578,14.839189052581787,14.97,15.0,1.2200000000000006,13.75,0.0,-0.13081094741821353
453316.5466962,0.0,start,1.0166925191879272,14.854909926652908,14.97,15.0,1.2200000000000006,13.75,0.0,-0.11509007334709231
