name,kind,param,static_noise_std,ramp_lag_s,ramp_rmse,score,static_samples,ramp_samples
exp_0.3,exponential,0.3,0.0042787028916601594,0.017401699966285378,0.2742720893064603,2.223099458147721,2,4
exp_0.2,exponential,0.2,0.0033223653855332697,0.034803399932570755,0.2708779323082986,2.5030750470785037,2,4
exp_0.5,exponential,0.5,0.006073798343116117,0.008700849983142689,0.28870337258290585,2.5297532154039164,2,4
exp_0.1,exponential,0.1,0.002185380495293574,0.0783076498482842,0.336635664928713,3.6741306029941434,2,4
ma_0.1s,moving_average,0.1,0.006686331947081316,0.039158474930445664,1.6730561806174526,4.805406859727006,2,4
ma_0.05s,moving_average,0.05,0.011545386168797647,0.019571624958189204,1.1521170688157412,5.3587128071835775,2,4
exp_0.05,exponential,0.05,0.0015059561878099591,0.1609703746944433,0.6999151642714214,6.566935659365928,2,4
ma_0.2s,moving_average,0.2,0.006861115817117983,0.5548187983949902,2.327265726874293,23.12612017353267,2,4
ma_0.5s,moving_average,0.5,0.008538626436112036,1.0540217716625193,3.733973404855945,41.9339213050335,2,4
ma_1.0s,moving_average,1.0,0.011612028820196161,1.0606768218422076,5.289289521219132,44.332151008451916,2,4
