port,source_file,ramp_rate_psi_s,start_pressure_psia,end_pressure_psia,direction,ramp_offset_mean_psi,ramp_offset_std_psi,ramp_offset_mean_filtered_psi,ramp_offset_std_filtered_psi,ramp_samples,ramp_duration_s
port_a,ramp_port_a_r1_15to30_20260203_153245.csv,1.0,14.98,30.0,up,0.47496593330970677,0.021799898528969616,0.4749892095473573,0.007385474294058943,867,13.96212809998542
port_a,ramp_port_a_r5_30to50_20260203_153259.csv,5.0,30.0,50.0,up,0.5986451973182297,0.09785072342597441,0.5974978777710874,0.0246514264874721,231,3.794738899974618
port_b,ramp_port_b_r1_15to30_20260203_153359.csv,1.0,14.99,30.0,up,-0.05283051642679399,0.0259985359566227,-0.05292979337162852,0.008475049448739719,868,13.971749900025316
port_b,ramp_port_b_r5_30to50_20260203_153412.csv,5.0,30.0,49.995000000000005,up,0.07102599463885383,0.1213424037544675,0.06937816420566724,0.03601004082464116,237,3.8047289999667555
